"ticker","id","country","type_label"
"UNA NA Equity","Unilever NV","GB","Household & Personal Products"
"RBOS GR Equity","Robert Bosch GmbH","DE","#N/A N/A"
"KMCACZ CH Equity","Huawei Investment & Holding Co Ltd","CN","#N/A N/A"
"6503 JP Equity","Mitsubishi Electric Corp","JP","Capital Goods"
"6753 JP Equity","Sharp Corp/Japan","JP","Consumer Durables & Apparel"
"BABA US Equity","Alibaba Group Holding Ltd","CN","Retailing"
"2409 TT Equity","AU Optronics Corp","TW","Technology Hardware & Equipmen"
"9957 JP Equity","Vitec Holdings Co Ltd","JP","Technology Hardware & Equipmen"
"2737 JP Equity","Tomen Devices Corp","JP","Technology Hardware & Equipmen"
"8150 JP Equity","Sanshin Electronics Co Ltd","JP","Technology Hardware & Equipmen"
"3321 JP Equity","Mitachi Co Ltd","JP","Technology Hardware & Equipmen"
"7240 JP Equity","NOK Corp","JP","Automobiles & Components"
"025440 KS Equity","Daesung Eltec Co Ltd","KR","Consumer Durables & Apparel"
"SWKS US Equity","Skyworks Solutions Inc","US","Semiconductors & Semiconductor"
"7211 JP Equity","Mitsubishi Motors Corp","JP","Automobiles & Components"
"5901 JP Equity","Toyo Seikan Group Holdings Ltd","JP","Materials"
"ARD US Equity","Ardagh Group SA","LU","Materials"
"OI US Equity","Owens-Illinois Inc","US","Materials"
"7739 JP Equity","Canon Electronics Inc","JP","Technology Hardware & Equipmen"
"7420 JP Equity","Satori Electric Co Ltd","JP","Technology Hardware & Equipmen"
"ARCLK TI Equity","Arcelik AS","TR","Consumer Durables & Apparel"
"034220 KS Equity","LG Display Co Ltd","KR","Technology Hardware & Equipmen"
"001120 KS Equity","LG International Corp","KR","Capital Goods"
"003550 KS Equity","LG Corp","KR","Capital Goods"
"005490 KS Equity","POSCO","KR","Materials"
"GOOGL US Equity","Alphabet Inc","US","Media & Entertainment"
"GIVN SW Equity","Givaudan SA","CH","Materials"
"IFF US Equity","International Flavors & Fragrances Inc","US","Materials"
"DSM NA Equity","Koninklijke DSM NV","NL","Materials"
"SEE US Equity","Sealed Air Corp","US","Materials"
"PPC US Equity","Pilgrim's Pride Corp","US","Food, Beverage & Tobacco"
"BAUH3 BZ Equity","Excelsior Alimentos SA","BR","Food, Beverage & Tobacco"
"RLOG3 BZ Equity","Cosan Logistica SA","BR","Transportation"
"MKC US Equity","McCormick & Co Inc/MD","US","Food, Beverage & Tobacco"
"CCK US Equity","Crown Holdings Inc","US","Materials"
"BLL US Equity","Ball Corp","US","Materials"
"1723503D AU Equity","Amcor Ltd/Australia","AU","Materials"
"2313 HK Equity","Shenzhou International Group Holdings Ltd","CN","Consumer Durables & Apparel"
"1477 TT Equity","Makalot Industrial Co Ltd","TW","Consumer Durables & Apparel"
"LNZ AV Equity","Lenzing AG","AT","Materials"
"UFI US Equity","Unifi Inc","US","Consumer Durables & Apparel"
"IBM US Equity","International Business Machines Corp","US","Software & Services"
"MT NA Equity","ArcelorMittal","LU","Materials"
"STM IM Equity","STMicroelectronics NV","CH","Semiconductors & Semiconductor"
"6456 TT Equity","General Interface Solution Holding Ltd","TW","Technology Hardware & Equipmen"
"SYNA US Equity","Synaptics Inc","US","Semiconductors & Semiconductor"
"8202 JP Equity","Laox Co Ltd","JP","Retailing"
"COST US Equity","Costco Wholesale Corp","US","Food & Staples Retailing"
"CEC GR Equity","CECONOMY AG","DE","Retailing"
"HVN VN Equity","Vietnam Airlines JSC","VN","Transportation"
"9831 JP Equity","Yamada Denki Co Ltd","JP","Retailing"
"8175 JP Equity","Best Denki Co Ltd","JP","Retailing"
"6702 JP Equity","Fujitsu Ltd","JP","Software & Services"
"UPS US Equity","United Parcel Service Inc","US","Transportation"
"DPW GR Equity","Deutsche Post AG","DE","Transportation"
"6367 JP Equity","Daikin Industries Ltd","JP","Capital Goods"
"5802 JP Equity","Sumitomo Electric Industries Ltd","JP","Automobiles & Components"
"6724 JP Equity","Seiko Epson Corp","JP","Technology Hardware & Equipmen"
"8012 JP Equity","Nagase & Co Ltd","JP","Capital Goods"
"5301 JP Equity","Tokai Carbon Co Ltd","JP","Materials"
"4651Z LN Equity","Intel Semiconductor Ltd","HK","#N/A N/A"
"1527512D CH Equity","Shenzhen Sunhelm Investment Co Ltd","CN","#N/A N/A"
"STX US Equity","Seagate Technology PLC","US","Technology Hardware & Equipmen"
"UNP US Equity","Union Pacific Corp","US","Transportation"
"BA US Equity","Boeing Co/The","US","Capital Goods"
"IP US Equity","International Paper Co","US","Materials"
"DAI GR Equity","Daimler AG","DE","Automobiles & Components"
"ATSG US Equity","Air Transport Services Group Inc","US","Transportation"
"LHA GR Equity","Deutsche Lufthansa AG","DE","Transportation"
"EVK GR Equity","Evonik Industries AG","DE","Materials"
"1COV GR Equity","Covestro AG","DE","Materials"
"SKG ID Equity","Smurfit Kappa Group PLC","IE","Materials"
"5741 JP Equity","UACJ Corp","JP","Materials"
